Order ID,Order Date,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10001,2023-07-13,Customer 45,Home Office,USA,New York,New York,East,Technology,Accessories,Accessories Model 532,259.99,3,0.0,56.98
ORD-10002,2023-10-28,Customer 280,Corporate,USA,New York,New York,East,Furniture,Chairs,Chairs Model 325,248.01,10,0.0,47.2
ORD-10003,2022-12-11,Customer 53,Consumer,USA,Atlanta,Georgia,South,Furniture,Chairs,Chairs Model 489,704.18,6,0.2,-7.84
ORD-10004,2023-01-23,Customer 41,Home Office,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 400,279.23,1,0.3,9.51
ORD-10005,2022-08-27,Customer 52,Corporate,USA,Houston,Texas,Central,Technology,Phones,Phones Model 384,64.91,4,0.2,12.74
ORD-10006,2022-06-25,Customer 274,Home Office,USA,Atlanta,Georgia,South,Furniture,Tables,Tables Model 350,368.17,5,0.0,74.47
ORD-10007,2022-02-27,Customer 118,Consumer,USA,Seattle,Washington,West,Office Supplies,Paper,Paper Model 924,989.73,9,0.1,169.4
ORD-10008,2023-05-27,Customer 203,Home Office,USA,Chicago,Illinois,Central,Office Supplies,Binders,Binders Model 569,226.76,10,0.2,0.72
ORD-10009,2023-03-15,Customer 299,Corporate,USA,Seattle,Washington,West,Furniture,Chairs,Chairs Model 470,750.09,9,0.2,102.58
ORD-10010,2022-06-13,Customer 217,Home Office,USA,Los Angeles,California,West,Technology,Accessories,Accessories Model 165,109.09,1,0.0,9.62
ORD-10011,2022-04-28,Customer 275,Corporate,USA,Atlanta,Georgia,South,Technology,Accessories,Accessories Model 887,538.53,9,0.0,118.51
ORD-10012,2022-07-02,Customer 260,Consumer,USA,Houston,Texas,Central,Office Supplies,Paper,Paper Model 991,174.99,1,0.2,33.77
ORD-10013,2023-05-16,Customer 10,Consumer,USA,Houston,Texas,Central,Furniture,Tables,Tables Model 471,767.26,9,0.0,153.25
ORD-10014,2022-03-12,Customer 273,Consumer,USA,Houston,Texas,Central,Furniture,Chairs,Chairs Model 231,880.45,2,0.0,205.12
ORD-10015,2023-12-08,Customer 103,Home Office,USA,Miami,Florida,South,Office Supplies,Storage,Storage Model 419,874.98,7,0.1,203.2
ORD-10016,2022-01-22,Customer 284,Consumer,USA,Atlanta,Georgia,South,Office Supplies,Storage,Storage Model 702,462.46,4,0.1,7.4
ORD-10017,2022-12-05,Customer 37,Home Office,USA,Los Angeles,California,West,Furniture,Bookcases,Bookcases Model 343,638.48,4,0.0,176.45
ORD-10018,2023-04-30,Customer 209,Consumer,USA,Chicago,Illinois,Central,Furniture,Bookcases,Bookcases Model 196,149.67,10,0.3,-5.87
ORD-10019,2022-12-14,Customer 56,Consumer,USA,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Paper Model 296,422.88,1,0.0,27.55
ORD-10020,2022-03-19,Customer 227,Home Office,USA,Seattle,Washington,West,Furniture,Tables,Tables Model 200,199.82,8,0.1,43.68
ORD-10021,2023-02-15,Customer 31,Consumer,USA,New York,New York,East,Furniture,Chairs,Chairs Model 488,182.98,8,0.3,-8.52
ORD-10022,2022-10-31,Customer 112,Consumer,USA,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Paper Model 693,299.54,9,0.3,-18.36
ORD-10023,2023-06-05,Customer 42,Consumer,USA,Philadelphia,Pennsylvania,East,Furniture,Chairs,Chairs Model 170,592.49,9,0.1,8.43
ORD-10024,2022-02-10,Customer 42,Corporate,USA,New York,New York,East,Office Supplies,Binders,Binders Model 773,942.76,10,0.1,136.45
ORD-10025,2023-11-19,Customer 154,Corporate,USA,Chicago,Illinois,Central,Furniture,Bookcases,Bookcases Model 423,721.87,4,0.2,35.33
ORD-10026,2023-06-03,Customer 136,Consumer,USA,New York,New York,East,Office Supplies,Storage,Storage Model 457,998.49,2,0.0,184.13
ORD-10027,2023-11-01,Customer 271,Consumer,USA,New York,New York,East,Office Supplies,Paper,Paper Model 783,174.59,9,0.2,17.97
ORD-10028,2023-09-12,Customer 108,Home Office,USA,Houston,Texas,Central,Furniture,Tables,Tables Model 451,133.12,2,0.1,9.06
ORD-10029,2022-10-11,Customer 23,Consumer,USA,Seattle,Washington,West,Technology,Accessories,Accessories Model 441,266.1,1,0.0,55.5
ORD-10030,2023-12-09,Customer 77,Home Office,USA,Seattle,Washington,West,Furniture,Bookcases,Bookcases Model 136,453.0,7,0.0,35.32
ORD-10031,2022-08-04,Customer 128,Home Office,USA,Houston,Texas,Central,Office Supplies,Binders,Binders Model 205,60.99,6,0.0,16.76
ORD-10032,2022-07-01,Customer 212,Consumer,USA,Chicago,Illinois,Central,Technology,Machines,Machines Model 283,171.46,4,0.1,41.85
ORD-10033,2022-04-21,Customer 196,Consumer,USA,Chicago,Illinois,Central,Technology,Machines,Machines Model 979,814.53,5,0.1,160.34
ORD-10034,2022-07-17,Customer 205,Corporate,USA,Miami,Florida,South,Furniture,Tables,Tables Model 385,362.67,4,0.1,2.15
ORD-10035,2022-04-29,Customer 134,Consumer,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 694,519.22,9,0.2,95.96
ORD-10036,2023-06-08,Customer 60,Corporate,USA,Houston,Texas,Central,Furniture,Bookcases,Bookcases Model 690,445.87,6,0.3,22.99
ORD-10037,2022-03-13,Customer 170,Home Office,USA,Seattle,Washington,West,Furniture,Bookcases,Bookcases Model 421,447.34,9,0.1,40.73
ORD-10038,2023-07-22,Customer 66,Consumer,USA,Philadelphia,Pennsylvania,East,Technology,Accessories,Accessories Model 530,673.56,6,0.3,50.05
ORD-10039,2022-08-04,Customer 221,Home Office,USA,Miami,Florida,South,Technology,Machines,Machines Model 721,314.93,9,0.0,39.67
ORD-10040,2022-06-23,Customer 44,Corporate,USA,Chicago,Illinois,Central,Office Supplies,Paper,Paper Model 627,682.11,9,0.3,67.14
ORD-10041,2022-09-08,Customer 244,Home Office,USA,Houston,Texas,Central,Furniture,Bookcases,Bookcases Model 970,324.21,4,0.1,1.98
ORD-10042,2022-06-01,Customer 3,Consumer,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 897,584.16,7,0.3,-0.05
ORD-10043,2022-05-05,Customer 234,Consumer,USA,Miami,Florida,South,Furniture,Bookcases,Bookcases Model 920,527.6,1,0.1,121.01
ORD-10044,2023-07-16,Customer 229,Consumer,USA,Atlanta,Georgia,South,Office Supplies,Storage,Storage Model 861,818.71,9,0.3,88.13
ORD-10045,2022-10-09,Customer 226,Consumer,USA,Atlanta,Georgia,South,Office Supplies,Binders,Binders Model 830,843.07,5,0.3,47.79
ORD-10046,2022-08-25,Customer 197,Home Office,USA,Houston,Texas,Central,Office Supplies,Paper,Paper Model 256,333.32,9,0.0,28.2
ORD-10047,2023-03-07,Customer 200,Home Office,USA,Los Angeles,California,West,Office Supplies,Paper,Paper Model 812,344.26,8,0.3,-29.07
